,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,main_topic,Text,target_label
Doc146,0.01,0.01,0.01,0.01,0.01,0.42,0.01,0.01,0.37,0.01,0.14,0.01,5,"very happy. found a set I needed quickly online, booked a fitting when it suited me, had to change that time and did so with ease, the garage fitted tyres swiftly and on time, and I saved a few quid.",delivery punctuality
Doc147,0.61,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.23,0.02,0.02,0,"Good tyres, at a good price",value for money
Doc148,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Great service at a great price.,garage service
Doc149,0.01,0.09,0.11,0.09,0.01,0.01,0.16,0.01,0.01,0.35,0.16,0.01,9,"Great as usual. We've purchased from [REDACTED] several times, this time from a completely different garage. They were really good, the tyre fitter was nice and very friendly, job was well done.I can't recommend them enough and going through [REDACTED] meant cheaper too.",tyre quality
Doc150,0.01,0.68,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,1,Great Service. Not quite the cheapest this time but service at Protyre Weston-super-Mare excellent.,garage service
Doc151,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.56,0.01,0.01,9,Good prices and good choice of fitting near me used many times before and will do in the future.,tyre quality
Doc152,0.22,0.3,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.01,5,Tires as ordered delivered on time and at a very good price. Excellent service.,delivery punctuality
Doc153,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.58,0.02,0.02,0.02,0.25,7,Best price for tyres and easy to deal with.,location
Doc154,0.21,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.48,0.01,0.01,0.12,8,"Good value and very wide choice of tyres, booking is easy and the fitting garage were very professional.",booking confusion
Doc155,0.41,0.01,0.01,0.01,0.18,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0,Good value convenient service. Easy to change booking.,value for money
Doc156,0.01,0.72,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,1,excellent service once againshoutout to lepsons garage also. great guys. excellent swift service!,garage service
Doc157,0.53,0.02,0.02,0.02,0.02,0.02,0.02,0.3,0.02,0.02,0.02,0.02,0,Prompt efficient service at a very competitive price,value for money
Doc158,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,Good service good tyres at the right price. Thankyou,value for money
Doc159,0.74,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0,"Highly recommended. Quick, convenient, efficient. Good price too.",value for money
Doc160,0.02,0.26,0.02,0.02,0.22,0.22,0.18,0.02,0.02,0.02,0.02,0.02,1,Great experience quick change of tires got the budget one's and they feel like premium one's,garage service
Doc161,0.01,0.28,0.01,0.01,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.27,4,"Great service. Came to my work, on time, and so quick. Can’t fault them..will def use again.",wait time
Doc162,0.01,0.01,0.01,0.47,0.18,0.01,0.22,0.01,0.01,0.01,0.01,0.01,3,The ordering and booking process was straight forward. However the fitting of the tyres was delayed so had to hang around for over 45mins longer than expected. Something beyond [REDACTED] influence.,change of date
Doc163,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,11,Easy to use and by far the cheapest around. Great communication,discounts
Doc164,0.3,0.01,0.01,0.01,0.01,0.18,0.01,0.28,0.01,0.01,0.01,0.16,0,Good service and was able to have them fitted by a local garage all arranged through [REDACTED].Will use them again.,value for money
Doc165,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.33,0.01,0.26,0.01,0.01,7,Best Quality Tyres and Cheapest Prices I Could Find On The Internet!!! Will Definitely Use Again!!!,location
Doc166,0.22,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,1,Excellent service. Prompt and efficient replacement of 4 tyres at home at an agreed time on a Saturday morning.,garage service
Doc167,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.24,0.01,0.4,11,"Great price, easy to use website with the ability to use local garage for fitting. First time i have used [REDACTED] and will definately use them again",discounts
Doc168,0.01,0.16,0.01,0.01,0.01,0.3,0.01,0.45,0.01,0.01,0.01,0.01,7,Tyres and fitting. Tyres ordered into my local ATS - cannot fault the service or price.,location
Doc169,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.27,0.02,0.02,1,"Excellent pricing, at a garage I have used and trusted before.",garage service
Doc170,0.54,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,Great price and service - highly recommended,value for money
Doc171,0.49,0.18,0.11,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0,"Very Good Service Great Prices. I had my Tyres fitted at McKinnons in Wellington, Surrey. The service was quick efficient and the fitter was a good communicative type of chap! All in all very pleased with the price and fitment of the tyres.",value for money
Doc172,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.71,0.01,10,Nice idea but double check garage has equipment. It turned out that The garage selected didn’t have the equipment required to change the tyres. My husband ended up losing a day taking the car to a 2nd garage. There is now a clunking sound under the car - so will have to take it to a third garage to get this looked at.,length of fitting
Doc173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.24,0.12,0.37,11,Easy to use website. Local friendly fitting station quality product at the right price,discounts
Doc174,0.01,0.01,0.01,0.01,0.01,0.28,0.01,0.01,0.01,0.62,0.01,0.01,9,Consistently good. Blackheath Tyres coped very well on a busy morning and the quality tyres were fitted expertly. Its the same every time I use [REDACTED].,tyre quality
Doc175,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Excellent service. Reliable product at a realistic price!,garage service
Doc176,0.01,0.01,0.01,0.25,0.01,0.34,0.34,0.01,0.01,0.01,0.01,0.01,5,Simple and easy to use. Tyres were cheaper than other places I looked and tyre fitting was very simple with lots of garages to pick from. All with date and times to suit everyone.,delivery punctuality
Doc177,0.52,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0,Does what it says. Good price promptly fitted does what it says on the tin what more can you say,value for money
Doc178,0.22,0.43,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.01,1,"Great tyres at a great price! Excellent prompt fitting service at A & S Tyres & Wheels, highly recommended!",garage service
Doc179,0.01,0.21,0.01,0.01,0.01,0.33,0.01,0.18,0.01,0.01,0.01,0.21,5,Very easy service. Found the right tire for my car easily and able to get the tyre delivered fast to my local garage. Will use again.,delivery punctuality
Doc180,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.43,0.01,10,excellent service. friendly staff and really helpful.,length of fitting
Doc181,0.01,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,1,Great service fantastic price very pleased always use [REDACTED] for my tyres,garage service
Doc182,0.54,0.19,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0,"Good Service and value. Good value and even when I made a mistake they recognised it and contacted me and sorted it all out. Great service also from McConnachies in Sighthill, Edinburgh who fitted the tyres.",value for money
Doc183,0.0,0.1,0.0,0.0,0.0,0.58,0.0,0.08,0.0,0.15,0.0,0.06,5,"Home fitted Avon tyres. We had our Avon tyres fitted at home to our new Ford Ecosport. Very easy to order, the only thing I had to do was manually select the tyre size because the auto pick list against our licence chose a 16 inch rim, well the wrong tyre really. Always best to check the numbers located on the wall of your tyre and you will be fine.Anyway second time Chris has been and fitted tyres for us, great service, quality, price and you don't even have to leave home. Tyres have made a big improvement to the cars noise levels, better braking and cornering in all weather. Thanks Chris and [REDACTED].",delivery punctuality
Doc184,0.15,0.15,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.37,11,Very easy to order. Good communication. Excellent price. Delivered on time. Would use again.,discounts
Doc185,0.01,0.66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,1,Quality. Great price and Great service,garage service
Doc186,0.54,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0,"Everything done online, good value for money. Tyres seem to be good, but only time will tell if they are really good value.",value for money
Doc187,0.51,0.01,0.01,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0,"Very happy with the whole process. Good selection and price, the garage were quick and efficient.",value for money
Doc188,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.66,11,Easy to use website. Saved me over £100 on 2 tyres. Simple decision.,discounts
Doc189,0.01,0.01,0.01,0.01,0.14,0.01,0.18,0.01,0.01,0.01,0.01,0.59,11,"Quick and easy site to use, all the information was readily available no digging for small print ratings etc. I chose mobile fitment, they met in a convenient carpark near my work and changed my tyres there and then in 20 minutes.",discounts
Doc190,0.14,0.17,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.39,11,"Easy website, great prices, choice of fitting dates and good communication",discounts
Doc191,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Good value for money,value for money
Doc192,0.01,0.47,0.18,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,1,Near perfect combination of competitive prices coupled with excellent service from fitters.,garage service
Doc193,0.15,0.16,0.01,0.01,0.01,0.01,0.01,0.59,0.01,0.01,0.01,0.01,7,Good price for tyres and excellent fitting by local firm Bathwick tyres,location
Doc194,0.42,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0,On time . Very polite and very efficient would highly recommend,value for money
Doc195,0.42,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0,[REDACTED] was recommended to me by family members and I had a good experience as well and would be happy to also do so .,value for money
Doc196,0.24,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,Fast efficient service at a great price,garage service
Doc197,0.02,0.02,0.02,0.02,0.02,0.02,0.36,0.47,0.02,0.02,0.02,0.02,7,"Easy, cheaper, great garage!",location
Doc198,0.53,0.01,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,"Good selection and good prices, like the way you can compare the options provided like the tyre performance",value for money
Doc199,0.42,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.22,0,"like the value for money options you get, simple to use",value for money
Doc200,0.01,0.01,0.01,0.15,0.01,0.01,0.55,0.22,0.01,0.01,0.01,0.01,6,Convenient to book and cheaper tyres than if go through the garages directly. Simple and easy process from start to finish.,ease of booking
Doc201,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0,Good price everything went smoothly,value for money
Doc202,0.23,0.29,0.15,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,1,Very good price a exelent service with great local fitters.,garage service
Doc203,0.01,0.01,0.01,0.01,0.13,0.22,0.23,0.22,0.01,0.13,0.01,0.01,6,It was really easy to select the tyres I wanted and to book an appointment with my local garage to get them fitted,ease of booking
Doc204,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.51,0.02,0.28,9,Easy to.ourchas3 fitting was good,tyre quality
Doc205,0.01,0.19,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.18,0.01,6,"Easy, quick and simple. Service at Christian Cars was incredible.",ease of booking
Doc206,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.69,11,Easy website to use. Good competitive prices.,discounts
Doc207,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,11,Easy pleasant transaction. Well priced.,discounts
Doc208,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.69,11,Very easy to use and relatively cheap,discounts
Doc209,0.01,0.23,0.01,0.01,0.01,0.01,0.19,0.28,0.01,0.2,0.01,0.01,7,Best prices on web and convenient service - but might be different next time,location
Doc210,0.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0,Really good straight forward service and very good price.,value for money
Doc211,0.11,0.21,0.01,0.01,0.12,0.01,0.01,0.01,0.26,0.15,0.01,0.11,8,"Excellent value, great location choice and comprehensive website choice and experience. 2nd time I've used you guys and I'd never go back.",booking confusion
Doc212,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0,Good choice in tyres and good prices,value for money
Doc213,0.22,0.02,0.02,0.02,0.02,0.02,0.22,0.42,0.02,0.02,0.02,0.02,7,I chose 9 because the garage did a good job 1 point of for the garage owner being a bit off maybe because I was 10 mins late,location
Doc214,0.37,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.26,0,Very easy process and good prices,value for money
Doc215,0.63,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0,Local. Good prices. Friendly service.,value for money
Doc216,0.47,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.33,0,"Good prices, easy to organise",value for money
Doc217,0.01,0.45,0.01,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,1,Great service at my local garage and great price from [REDACTED],garage service
Doc218,0.02,0.28,0.02,0.02,0.02,0.51,0.02,0.02,0.02,0.02,0.02,0.02,5,Locally fitted tyres and great backup when needed,delivery punctuality
Doc219,0.27,0.11,0.01,0.01,0.01,0.17,0.01,0.01,0.01,0.39,0.01,0.01,9,Never used [REDACTED] before. The range of tyres were great at a really good price. I also had them fitted at a [REDACTED] tyre fitting place who were very quick and efficient.,tyre quality
Doc220,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0,Very good service although my appoint was for 15:00 hours I didn’t get my vehicle into the workshop till 15:20,value for money
Doc221,0.5,0.0,0.34,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0,"Price as good Facilities were good Timing was good Failure to torque up the front wheels before inviting me to drive off - not so good. An unease as I drove down the road turned into fear I would loose both wheels before I could get back to the fitters. The offer of £5 for my inconvenience was good. The failure to use the locking nut adapter properly, thereby destroying it and leaving me with no way to remove and replace wheels - not so good. Ordering me a new adapter was good I still haven’t seen it yet a week later - not so good.",value for money
Doc222,0.02,0.27,0.27,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,1,Cos the garage bm enterprises is excellent very professional and lovely people,garage service
Doc223,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.5,11,"Good prices, easy to use website and lots of garages to choose from for fitting.",discounts
Doc224,0.01,0.01,0.01,0.01,0.01,0.2,0.24,0.01,0.01,0.14,0.01,0.37,11,Website easy to use . Quick and convenient fitting arrangements with tyres fitted on drive by courteous technician in double quick time.,discounts
Doc225,0.29,0.01,0.15,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.24,0,Easy. Quick. Good prices. Local fitters.,value for money
Doc226,0.03,0.03,0.03,0.03,0.03,0.03,0.36,0.03,0.03,0.03,0.03,0.36,6,because it would have been cheaper to use ATS direct,ease of booking
Doc227,0.67,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0,"Easy to access, good price, good service",value for money
Doc228,0.01,0.27,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.33,11,"The Web site is easy to use, excellent service in respect of delivery of tyres, fitting and price reasonable for premium tyres.",discounts
Doc229,0.02,0.02,0.02,0.02,0.02,0.48,0.02,0.31,0.02,0.02,0.02,0.02,5,Price and tyre options and the ability to have them fitted locally and reliably,delivery punctuality
Doc230,0.32,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.51,11,"Good range and prices, easy to use",discounts
Doc231,0.0,0.14,0.04,0.0,0.13,0.13,0.0,0.06,0.0,0.37,0.13,0.0,9,"I've used [REDACTED] previously several times for tyre purchase and fitting for three of my cars and each time the service has worked seamlessly and very efficiently. On a previous occasion, I needed to contact their CS dept. and was rapidly and properly served by a helpful, professional and friendly UK agent. Lots of companies could potentially sell tyres only online but [REDACTED].com also have the UK national fitting service options fully covered. So each time, as now, I purchased tyres from [REDACTED].com and ordered a fitting service from ATS Euromaster at our branch in Knutsford (incidentally those friendly guys there, Mark & Andy, are always excellent and bang on time). The fact that [REDACTED].com deliver exactly the tyre you order online to your chosen fitting depot and it's always there for when you arrive for the fitting is great. In short, it all works without any fuss or issue. Plus importantly, the [REDACTED] prices have always been the most competitive (online or offline); with or without the fitting element. So they tick every box, imho. Did I miss anything?! [REDACTED].com and ATS Euromaster - individually and collectively brilliant!!",tyre quality
Doc232,0.73,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,good prices - good service - good fitters,value for money
